ADAL,263557,2419735
ADAR,275375,2332289
ADEL,380684,5120900
ADER,350603,4544329
ADFL,278978,4033036
ADFR,357253,4443743
ADLL,351764,7086172
ADLR,423031,7233831
AFDL,300474,3540229
AFDR,265899,3300894
AIAL,370314,4559261
AIAR,462055,8009018
AIBL,580272,8333395
AIBR,617426,8969024
AIML,260905,3288949
AIMR,303619,3679302
AINL,358431,4293032
AINR,383228,4393579
AIYL,389736,4667311
AIYR,448244,4874299
AIZL,502168,7972227
AIZR,496139,6789579
ALA,633673,36570337
ALML,216710,2835955
ALMR,224747,2475278
ALNL,136398,2253971
ALNR,128956,1782877
AQR,428968,5732342
ASEL,508877,6857641
ASER,557856,7900369
ASGL,231506,2965448
ASGR,246052,3296888
ASHL,284181,4396792
ASHR,332187,4226005
ASIL,229299,2154163
ASIR,224501,2171621
ASJL,266476,3779066
ASJR,256246,3310437
ASKL,256232,4730461
ASKR,259242,3517855
AUAL,308433,4162600
AUAR,329380,3820277
AVAL,817176,28368253
AVAR,837231,25546172
AVBL,662368,9194182
AVBR,622216,8693912
AVDL,421153,4083311
AVDR,428260,4167955
AVEL,522982,8282397
AVER,602785,11014359
AVFL,358494,4784123
AVFR,376024,4312992
AVHL,273812,2526415
AVHR,235371,2564758
AVJL,271205,2310681
AVJR,232966,2245989
AVKL,689037,11136075
AVKR,646079,9678905
AVL,748012,16423264
AVM,179193,1750035
AWAL,271509,3861216
AWAR,319479,4295384
AWBL,225652,2937398
AWBR,214130,2178262
AWCL,362095,4435354
AWCR,547725,6884382
BAGL,703405,33176223
BAGR,719340,31619156
BDUL,191097,1538364
BDUR,237689,1925812
CEPDL,557561,16469485
CEPDR,524260,14764720
CEPVL,462064,16132843
CEPVR,470437,15182718
DVA,802902,15674584
DVC,489141,6763212
FLPL,146640,1363441
FLPR,120343,1342353
HSNL,361777,3683494
HSNR,359016,3697618
IL1DL,237848,4209861
IL1DR,273567,4298246
IL1L,348863,7824098
IL1R,331954,5203079
IL1VL,393433,13338827
IL1VR,410377,14829411
IL2DL,149930,2198008
IL2DR,156926,2352766
IL2L,168595,3081994
IL2R,177001,3079837
IL2VL,203902,2836166
IL2VR,211844,3835565
OLLL,448399,7319121
OLLR,437218,5964314
OLQDL,288463,10785071
OLQDR,283885,7438676
OLQVL,299737,14303926
OLQVR,364563,14291868
PLNL,152217,1359132
PLNR,112513,1086392
PVCL,377411,3335372
PVCR,368364,3214576
PVNL,535432,4002442
PVNR,384023,2831205
PVPL,230750,2750628
PVPR,281048,3054987
PVQL,249153,3736886
PVQR,277421,4146597
PVR,421036,4857787
PVT,585420,10011649
Pharynx,1978810,948471469
Phi_Marker,57554,1165527
RIAL,971083,26303286
RIAR,1019520,26103905
RIBL,681468,10225650
RIBR,643745,8278122
RICL,459004,6507549
RICR,477013,6236668
RID,895095,22536776
RIFL,329018,4066607
RIFR,389541,4566419
RIGL,470723,8195352
RIGR,473285,7594753
RIH,1229760,35185277
RIML,721078,14800345
RIMR,681495,14170961
RIPL,471531,23221148
RIPR,459541,15635769
RIR,644809,11634061
RIS,867811,15315798
RIVL,460645,4669988
RIVR,427095,4433812
RMDDL,759700,19395485
RMDDR,825769,18891200
RMDL,745407,19518811
RMDR,799640,21193871
RMDVL,855931,22760599
RMDVR,825899,21440644
RMED,716389,19713814
RMEL,555213,14568779
RMER,486029,13134534
RMEV,780262,17260240
RMFL,491666,10035649
RMFR,479109,9426453
RMGL,462062,6190134
RMGR,426307,6004319
RMHL,441724,8185142
RMHR,461726,9063954
SAADL,470176,7695326
SAADR,550003,8425540
SAAVL,474808,10875258
SAAVR,501912,11298964
SABD,48852,256354
SDQL,230828,3045531
SDQR,429467,5018154
SIADL,424481,8117277
SIADR,451890,6819669
SIAVL,425059,8183808
SIAVR,425001,4278804
SIBDL,231389,1971351
SIBDR,343127,2631888
SIBVL,599951,8905372
SIBVR,627887,8932557
SMBDL,798209,17332262
SMBDR,824405,15793257
SMBVL,678535,16794476
SMBVR,777581,15422372
SMDDL,777867,14529995
SMDDR,818458,15007911
SMDVL,685452,17693281
SMDVR,701637,17790751
URADL,178700,2848631
URADR,169368,2434082
URAVL,329639,10372966
URAVR,323071,10675484
URBL,320507,8094551
URBR,247636,3035938
URXL,666742,22528103
URXR,668063,22480210
URYDL,262408,7258360
URYDR,173918,1929648
URYVL,300027,9607516
URYVR,250541,4473655
VB01,162051,1315776
VB02,50384,281111
VC01,21917,168563
VD01,45296,396792
